Country,Sex,Age,English Proficiency,PT,FS,EC,PD,Accuracy,HEL Accuracy,LEL Accuracy,Truth Count,Lies Count,Avg Confidence Truth,Avg Confidence Lie,Avg Confidence General,Time Spent (min)
israel,F,22,10,3.0,4.857142857142857,3.5714285714285716,2.5714285714285716,0.3333333333333333,0.16666666666666666,0.5,4,8,72.75,61.25,65.08333333333333,31
latvia,M,22,10,3.2857142857142856,4.0,3.5714285714285716,1.8571428571428572,0.41666666666666663,0.3333333333333333,0.5,9,3,74.55555555555556,84.0,76.91666666666667,12
italy,M,23,9,4.428571428571429,3.142857142857143,3.142857142857143,2.142857142857143,0.5833333333333333,0.8333333333333333,0.3333333333333333,9,3,67.77777777777777,70.0,68.33333333333333,8
italy,M,24,7,2.857142857142857,4.0,3.4285714285714284,2.5714285714285716,0.49999999999999994,0.6666666666666666,0.3333333333333333,6,6,71.83333333333333,61.49999999999999,66.66666666666667,11
france,F,22,9,2.2857142857142856,4.285714285714286,3.5714285714285716,3.0,0.49999999999999994,0.8333333333333333,0.16666666666666666,6,6,62.83333333333333,78.83333333333334,70.83333333333334,9
italy,F,29,7,4.142857142857143,4.428571428571429,4.285714285714286,3.142857142857143,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,6,61.16666666666667,60.16666666666667,60.666666666666664,16
cyprus ,M,51,9,3.7142857142857144,1.5714285714285714,3.4285714285714284,2.857142857142857,0.41666666666666663,0.5,0.3333333333333333,5,7,44.0,42.0,42.833333333333336,24
italy,M,22,8,3.4285714285714284,3.7142857142857144,4.285714285714286,4.142857142857143,0.8333333333333334,0.6666666666666666,0.9999999999999999,6,6,65.83333333333334,65.66666666666667,65.75,9
italy,F,22,8,2.7142857142857144,3.4285714285714284,3.2857142857142856,2.857142857142857,0.41666666666666663,0.5,0.3333333333333333,7,5,43.0,25.999999999999996,35.916666666666664,8
china,F,22,9,3.5714285714285716,2.857142857142857,3.2857142857142856,3.0,0.3333333333333333,0.5,0.16666666666666666,6,6,73.16666666666666,66.83333333333333,70.0,7
switzerland,M,27,8,3.142857142857143,3.142857142857143,2.7142857142857144,2.5714285714285716,0.49999999999999994,0.6666666666666666,0.3333333333333333,6,6,86.00000000000001,76.16666666666666,81.08333333333334,5
italy,F,23,5,3.7142857142857144,4.571428571428571,4.285714285714286,3.2857142857142856,0.41666666666666663,0.3333333333333333,0.5,9,3,74.0,60.00000000000001,70.49999999999999,23
greece,F,22,9,4.0,4.571428571428571,3.5714285714285716,2.4285714285714284,0.5833333333333333,0.5,0.6666666666666666,5,7,63.2,57.42857142857143,59.83333333333332,14
italy,M,22,6,3.2857142857142856,3.2857142857142856,4.428571428571429,3.857142857142857,0.5833333333333333,0.5,0.6666666666666666,7,5,42.857142857142854,35.0,39.583333333333336,20
italy,M,22,7,3.5714285714285716,3.142857142857143,3.2857142857142856,2.5714285714285716,0.49999999999999994,0.8333333333333333,0.16666666666666666,6,6,67.33333333333334,67.0,67.16666666666667,9
ireland,M,21,10,3.5714285714285716,4.428571428571429,4.714285714285714,4.285714285714286,0.41666666666666663,0.3333333333333333,0.5,5,7,63.8,51.42857142857142,56.583333333333336,11
italy,M,22,8,4.0,2.7142857142857144,3.7142857142857144,2.2857142857142856,0.6666666666666666,0.6666666666666666,0.6666666666666666,6,6,60.5,67.83333333333333,64.16666666666667,15
italy,F,22,8,3.4285714285714284,4.857142857142857,3.7142857142857144,3.142857142857143,0.3333333333333333,0.5,0.16666666666666666,4,8,65.0,68.75,67.5,13
australia,M,19,10,1.8571428571428572,2.2857142857142856,1.0,1.5714285714285714,0.25,0.16666666666666666,0.3333333333333333,7,5,41.0,43.0,41.833333333333336,12
france,M,23,9,3.4285714285714284,3.142857142857143,4.142857142857143,1.4285714285714286,0.75,0.6666666666666666,0.8333333333333333,7,5,51.714285714285715,49.0,50.583333333333336,13
italy,F,23,7,3.857142857142857,5.0,4.142857142857143,2.142857142857143,0.41666666666666663,0.6666666666666666,0.16666666666666666,7,5,41.71428571428571,27.0,35.583333333333336,20
united kingdom,F,44,10,3.2857142857142856,4.142857142857143,3.7142857142857144,2.7142857142857144,0.49999999999999994,0.3333333333333333,0.6666666666666666,8,4,54.75,58.5,55.99999999999999,15
italy,F,19,7,4.285714285714286,4.142857142857143,4.285714285714286,2.5714285714285716,0.49999999999999994,0.6666666666666666,0.3333333333333333,8,4,85.125,70.0,80.08333333333333,50
italy,F,22,9,4.0,3.7142857142857144,3.857142857142857,2.4285714285714284,0.75,0.8333333333333333,0.6666666666666666,7,5,63.85714285714286,48.400000000000006,57.41666666666666,8
palestine,M,23,9,2.142857142857143,4.571428571428571,3.4285714285714284,2.857142857142857,0.49999999999999994,0.6666666666666666,0.3333333333333333,4,8,54.0,53.5,53.66666666666666,8
switzerland,M,55,10,4.0,3.0,4.285714285714286,2.142857142857143,0.41666666666666663,0.8333333333333333,0.0,5,7,62.400000000000006,61.857142857142854,62.08333333333333,12
italy,M,22,9,3.2857142857142856,2.5714285714285716,4.428571428571429,2.857142857142857,0.5833333333333333,0.8333333333333333,0.3333333333333333,5,7,65.8,76.42857142857142,72.0,22
france,F,26,4,3.2857142857142856,3.4285714285714284,5.0,4.571428571428571,0.5833333333333333,0.6666666666666666,0.5,9,3,52.777777777777786,33.333333333333336,47.916666666666664,11
italy,M,29,6,3.5714285714285716,3.5714285714285716,4.142857142857143,2.4285714285714284,0.6666666666666666,0.8333333333333333,0.5,6,6,61.66666666666667,66.0,63.833333333333336,25
morroco ,F,22,8,3.2857142857142856,3.5714285714285716,3.7142857142857144,3.4285714285714284,0.3333333333333333,0.3333333333333333,0.3333333333333333,8,4,54.375,26.75,45.166666666666664,16
