participant,age:1,genre:1,english:1,country:1,personality:1,personality:2,personality:3,personality:4,personality:5,personality:6,personality:7,personality:8,personality:9,personality:10,personality:11,personality:12,personality:13,personality:14,personality:15,personality:16,personality:17,personality:18,personality:19,personality:20,personality:21,personality:22,personality:23,personality:24,personality:25,personality:26,personality:27,personality:28,Q1:1,Q1_2:1,Q2:1,Q2_2:1,Q3:1,Q3_2:1,Q4:1,Q4_2:1,Q5:1,Q5_2:1,Q6:1,Q6_2:1,Q7:1,Q7_2:1,Q8:1,Q8_2:1,Q9:1,Q9_2:1,Q10:1,Q10_2:1,Q11:1,Q11_2:1,Q12:1,Q12_2:1,TIME_start,TIME_end,TIME_total
s.54cdd6e1-ce13-449a-a7bf-ce45faff34a1.txt,22,2,10,israel,5,4,2,3,5,3,5,4,3,5,3,5,4,3,4,5,3,3,1,4,2,5,5,1,3,4,1,3,2,51,2,60,1,78,2,60,2,59,1,66,1,78,2,50,2,50,1,69,2,80,2,80,2023-04-15-21-26,2023-04-15-21-57,31,
s.ed5d036d-85c5-4019-b45b-0f4c77671f68.txt,22,1,10,Latvia,4,4,5,1,2,2,2,3,4,3,4,5,2,4,2,5,3,5,1,4,1,3,5,1,3,5,1,5,1,84,2,74,2,97,1,54,1,75,1,53,1,94,1,97,2,81,1,85,1,62,1,67,2023-04-19-16-59,2023-04-19-17-11,12,
s.8c483281-2b26-44ac-90eb-0fe6d6494cde.txt,23,1,9,Italy,4,4,4,3,3,2,2,4,3,2,5,4,3,3,5,4,2,3,2,4,5,2,3,2,4,2,2,4,1,70,1,80,1,55,2,70,1,55,2,80,2,60,1,65,1,60,1,85,1,90,1,50,2023-04-06-20-52,2023-04-06-21-00,8,
s.bc60d408-b74e-45f7-a191-881d54d06c4c.txt,24,1,7,Italy ,3,4,3,3,4,2,4,2,3,2,4,5,2,3,2,4,5,5,3,3,2,3,4,1,3,4,3,4,1,64,2,57,2,61,1,70,1,66,2,61,1,61,1,100,1,70,2,61,2,66,2,63,2023-04-06-20-01,2023-04-06-20-12,11,
s.16fd83ad-7200-44d1-ae9f-1345d3fdb1b2.txt,22,2,9,France,5,4,1,3,1,2,4,1,3,4,4,5,4,5,2,5,4,3,2,4,2,3,5,2,1,5,3,5,2,75,1,50,2,75,1,50,1,50,2,95,2,78,1,76,1,75,1,76,2,75,2,75,2023-04-06-19-57,2023-04-06-20-06,9,
s.c8831bcc-0972-4eb7-9171-8f8209aa7b3d.txt,29,2,7,Italy ,5,5,4,4,5,4,2,5,4,5,4,5,2,4,2,4,3,4,2,4,5,5,5,2,4,5,4,5,1,63,2,53,2,63,1,65,1,66,2,58,2,59,1,63,2,69,2,59,1,57,1,53,2023-04-12-19-36,2023-04-12-19-52,16,
s.02d5da94-d14a-4c5b-8a47-f5326c9d087f.txt,51,1,9,Cyprus ,2,4,4,3,2,3,2,4,3,4,4,1,2,3,2,1,3,5,3,3,4,3,1,2,4,2,3,4,2,30,1,35,2,25,2,20,1,49,1,45,2,69,2,45,2,50,1,40,1,51,2,55,2023-04-16-18-22,2023-04-16-18-46,24,
s.8af8c273-aab1-4940-9ccd-fbf0c566aad2.txt,22,1,8,Italy,5,4,4,4,2,3,4,5,4,5,4,4,4,5,1,3,4,4,4,5,5,4,3,4,2,5,5,3,2,44,1,53,1,86,1,60,1,38,1,79,2,86,2,69,2,82,2,50,2,63,1,79,2023-04-12-21-14,2023-04-12-21-23,9,
s.afc9c4c5-05a2-4f08-884a-ec9ce2dc797a.txt,22,2,8,Italy,5,3,1,3,3,3,3,3,5,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,2,24,2,23,1,39,2,26,1,36,2,23,1,36,1,44,1,54,1,31,2,34,1,61,2023-04-06-20-15,2023-04-06-20-23,8,
s.122d2e1b-f87d-4858-b361-1994241a4fe1.txt,22,2,9,China,3,4,4,4,4,3,3,3,2,3,4,1,3,2,2,2,3,4,3,4,5,3,2,3,3,5,3,4,1,79,1,82,2,72,2,73,2,78,1,52,2,37,1,73,2,71,1,70,1,83,2,70,2023-04-06-21-43,2023-04-06-21-50,7,
