participant,age,genre,english,country,some_message,personality,Q1,Q1_2,Q2,Q2_2,Q3,Q3_2,fake_image,Q4,Q4_2,Q5,Q5_2,Q6,Q6_2,Q7,Q7_2,Q8,Q8_2,Q9,Q9_2,Q10,Q10_2,Q11,Q11_2,Q12,Q12_2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.54cdd6e1-ce13-449a-a7bf-ce45faff34a1.txt,45222,45222,45222,45222,9462,1383225,44176,44176,31821,31821,17426,17426,15415,20282,20282,4202,4202,1681588645818,1681588645818,58329,58329,45993,45993,43079,43079,781,781,30530,30530,21682,21682,0,2023-04-15-21-26,2023-04-15-21-57,31
s.ed5d036d-85c5-4019-b45b-0f4c77671f68.txt,17630,17630,17630,17630,2497,174098,22550,22550,40904,40904,32491,32491,9362,51873,51873,30164,30164,46720,46720,37953,37953,43554,43554,50732,50732,46562,46562,44591,44591,45865,45865,0,2023-04-19-16-59,2023-04-19-17-11,12
s.8c483281-2b26-44ac-90eb-0fe6d6494cde.txt,12572,12572,12572,12572,1392,98514,41306,41306,24402,24402,42405,42405,9823,30380,30380,10777,10777,32157,32157,30113,30113,13758,13758,42647,42647,13057,13057,20918,20918,50145,50145,0,2023-04-06-20-52,2023-04-06-21-00,8
s.bc60d408-b74e-45f7-a191-881d54d06c4c.txt,26434,26434,26434,26434,1242,427496,3579,3579,104362,104362,1808,1808,5699,22884,22884,3591,3591,10035,10035,11297,11297,23381,23381,3343,3343,1501,1501,2162,2162,2830,2830,0,2023-04-06-20-01,2023-04-06-20-12,11
s.16fd83ad-7200-44d1-ae9f-1345d3fdb1b2.txt,25296,25296,25296,25296,1428,114592,33508,33508,35714,35714,42708,42708,5551,38620,38620,21233,21233,38996,38996,14441,14441,35293,35293,5109,5109,32723,32723,24827,24827,23383,23383,0,2023-04-06-19-57,2023-04-06-20-06,9
s.c8831bcc-0972-4eb7-9171-8f8209aa7b3d.txt,25973,25973,25973,25973,7812,444181,47253,47253,79495,79495,1681321964882,1681321964882,6702,84819,84819,1681321942208,1681321942208,48316,48316,45007,45007,1681321936529,1681321936529,1681321947831,1681321947831,23938,23938,47294,47294,1980,1980,0,2023-04-12-19-36,2023-04-12-19-52,16
s.02d5da94-d14a-4c5b-8a47-f5326c9d087f.txt,694916,694916,694916,694916,8099,320228,23099,23099,34628,34628,43141,43141,14727,52989,52989,33177,33177,43018,43018,40034,40034,42623,42623,7769,7769,14599,14599,16037,16037,19021,19021,0,2023-04-16-18-22,2023-04-16-18-46,24
s.8af8c273-aab1-4940-9ccd-fbf0c566aad2.txt,16334,16334,16334,16334,7614,203215,19321,19321,7027,7027,1681327383863,1681327383863,10811,19849,19849,30682,30682,22573,22573,31042,31042,28336,28336,26299,26299,1681327376265,1681327376265,11526,11526,28652,28652,0,2023-04-12-21-14,2023-04-12-21-23,9
s.afc9c4c5-05a2-4f08-884a-ec9ce2dc797a.txt,50559,50559,50559,50559,16213,161274,13043,13043,6061,6061,13606,13606,2837,54530,54530,8123,8123,49053,49053,1522,1522,1938,1938,35242,35242,15262,15262,4598,4598,6290,6290,0,2023-04-06-20-15,2023-04-06-20-23,8
s.122d2e1b-f87d-4858-b361-1994241a4fe1.txt,29689,29689,29689,29689,3411,183967,11730,11730,8916,8916,5536,5536,9817,9921,9921,9874,9874,21656,21656,17107,17107,16857,16857,13029,13029,15969,15969,8662,8662,34501,34501,0,2023-04-06-21-43,2023-04-06-21-50,7
